sha, contributor, date, message
3b35bfc0a5, Jeff Young, Mon Dec 14 14:33:51 2020, "Don't write out synthetic severities (they're headings)."
d0e008053a, Jeff Young, Mon Dec 14 00:46:20 2020, "Fix compile issue on OSX."
a3a1d8d6e5, Seth Hillbrand, Mon Dec 14 00:39:19 2020, "Add 16px version of eeschema and pcbnew"
c059c0496c, Seth Hillbrand, Mon Dec 14 00:39:00 2020, "Pixel align eeschema icon"
ec534ab218, Seth Hillbrand, Mon Dec 14 00:38:44 2020, "Add compiled annotate"
4d128b819a, Wayne Stambaugh, Mon Dec 14 00:02:57 2020, "3D viewer code cleaning round 3."
9dae57ae9d, Jeff Young, Sun Dec 13 23:42:29 2020, "Fix several bugs in SCH color printing and plotting."
9720fc80fe, Jeff Young, Sun Dec 13 19:36:29 2020, "Print sheet background colour if specified."
126d40f9d3, Jeff Young, Sun Dec 13 19:09:53 2020, ""Sheet label" too confusing w/ sheet names and fields.  Use "sheet pin"."
8b843d023c, Marek Roszko, Sun Dec 13 19:14:12 2020, "Double buffer the info panel"
2d4a4f9d41, Jon Evans, Sun Dec 13 18:07:28 2020, "Tweak sch/pcb file icons"
4f5c764dde, Michael Kavanagh, Sun Dec 13 17:46:15 2020, "Appearance manager icons: fix which is which"
6a57fb5074, Michael Kavanagh, Sun Dec 13 15:40:04 2020, "Icons: update "Show Only Front Layers""
3f51198f6f, Jon Evans, Sun Dec 13 17:46:45 2020, "Tweak some schematic icons"
53f654b4df, Jon Evans, Sun Dec 13 17:33:39 2020, "Tweak contrast mode icon"
9b38073ccc, Jon Evans, Sun Dec 13 17:14:24 2020, "Tweak via icon"
7695866a72, Jon Evans, Sun Dec 13 17:14:09 2020, "Fix typo"
cc43b66daf, Michael Kavanagh, Sun Dec 13 15:29:50 2020, "Icons: use correct size for open action in toolbar"
40200ceab5, Jeff Young, Sun Dec 13 14:27:09 2020, "Clean up the symbol browser toobar a bit."
5b22cef984, Jeff Young, Sun Dec 13 14:12:38 2020, "Associate -> assign in the context of footprint assignments."
f225e95ffc, Cameron McQuinn, Fri Dec 11 22:58:57 2020, "FIx BOARD class SWIG interface"
bc99545eb2, Jeff Young, Sun Dec 13 12:39:53 2020, "ADDED Migrate Libraries button to Manage Symbol Libraries..."
e32686a80b, Jeff Young, Sun Dec 13 12:26:26 2020, "Formatting."
1db7ffad5e, Jeff Young, Sat Dec 12 22:54:47 2020, "Formatting."
7565f60a03, Marek Roszko, Sun Dec 13 00:51:35 2020, "Swap wxFileInputStream/wxFileOutputStream for the buffered kind"
6246824573, Jon Evans, Sat Dec 12 22:14:15 2020, "Tweaks to eeschema tool icons"
b39e8dc4d9, Jon Evans, Sat Dec 12 20:10:20 2020, "Tweak line/bus/junction icons"
6134d45af9, Jon Evans, Sat Dec 12 19:38:59 2020, "Tweak annotation icon"
eb69568969, Seth Hillbrand, Sat Dec 12 20:38:32 2020, "Adjust line width for via icons"
2bf0eb1e3a, Seth Hillbrand, Sat Dec 12 20:14:58 2020, "Add convert icon"
dce4d04113, Michael Kavanagh, Sat Dec 12 19:49:47 2020, "Add 24x24 size refresh icon"
2049e2ab23, Jon Evans, Sat Dec 12 19:29:37 2020, "Update find / replace icons"
d67cf2f9af, Marek Roszko, Sat Dec 12 19:11:51 2020, "Replace wxFile usage with wxFFile"
dab254580a, Jon Evans, Sat Dec 12 18:33:21 2020, "Tweak hierarchy navigation icons"
9e22499350, Wayne Stambaugh, Sat Dec 12 18:30:11 2020, "3D viewer code cleaning round 2.1."
1eba0c435b, Wayne Stambaugh, Sat Dec 12 18:29:11 2020, "3D viewer code cleaning round 2."
5d7a6ea990, jean-pierre charras, Sat Dec 12 18:27:06 2020, "DIALOG_ABOUT: fix incorrect size of bitmaps: it is now 24x24 pixels"
4be99d3d7d, Jon Evans, Sat Dec 12 17:54:54 2020, "Tweak annotate and image icons"
93d55e3d23, Jon Evans, Sat Dec 12 17:26:15 2020, "Tweak no-connect and label icons"
3ae87ba613, Marek Roszko, Sat Dec 12 16:44:31 2020, "Use wxFFileOutputStream in place of previous wxFFile switch"
6544dca056, Jon Evans, Sat Dec 12 16:32:54 2020, "Ensure driver connections are always properly initialized"
bc484784fc, Jeff Young, Sat Dec 12 16:14:41 2020, "Make sure zones are triangulated for DRC."
7186a0c621, Jeff Young, Sat Dec 12 15:59:48 2020, "Remove canonical name column from view and make sash more obvious."
f08b7f098f, Jeff Young, Sat Dec 12 13:36:09 2020, "Cleanup."
b4e4e1cf5e, Marek Roszko, Sat Dec 12 16:00:49 2020, "Use wxFFile instead of wxFile for saving json settings/json_settings.cpp"
67d8af4a4f, Marek Roszko, Sat Dec 12 15:50:52 2020, "Use buffered file write for hotkeys"
807eef1208, Jeff Young, Sat Dec 12 13:22:52 2020, "Better error reporting to try and catch 6635."
2c2630ef9e, Jeff Young, Sat Dec 12 04:43:16 2020, "Formatting."
65f9212f46, Jeff Young, Sat Dec 12 04:24:49 2020, "Naming conventions."
42d96fcadc, Jeff Young, Sat Dec 12 04:18:43 2020, "Naming conventions."
b6e267b78d, Jeff Young, Sat Dec 12 04:13:52 2020, "Naming conventions."
c0a9742b3a, Jeff Young, Sat Dec 12 03:52:33 2020, "Apply 0ef63aca4766c93ef86a9c03bea6c93bc49cdbcc to diff pairs."
a8269b6380, Michael Kavanagh, Sat Dec 12 00:02:09 2020, "Remove unused icon sources"
5e446d86ec, Seth Hillbrand, Sat Dec 12 02:16:45 2020, "Tune the trash cans"
cf6f0b9b92, Michael Kavanagh, Fri Dec 11 21:58:24 2020, "Use trash icon where appropriate"
40d4dd9a95, Seth Hillbrand, Sat Dec 12 02:04:41 2020, "Enlarge gerbview's magnifying glass"
1f8847b9e2, Seth Hillbrand, Sat Dec 12 02:04:17 2020, "Make pcbnew green again"
8cf98bdfff, Seth Hillbrand, Sat Dec 12 02:03:53 2020, "Refresh bitmap2component icon"
4656503a35, Seth Hillbrand, Sat Dec 12 00:13:43 2020, "Darken red in icons to lessen pixel bleed"
412c9c8c4e, Jeff Young, Fri Dec 11 23:44:10 2020, "Save should be disabled only if the file is up-to-date."
a134567838, Seth Hillbrand, Fri Dec 11 21:59:30 2020, "Enlarge modview magnifying glass"
63e67843f2, Seth Hillbrand, Fri Dec 11 21:57:03 2020, "Update some of the icon arrrows"
1886e09d08, Seth Hillbrand, Fri Dec 11 21:16:13 2020, "Fixup library archive and arrow"
e667d26854, Wayne Stambaugh, Fri Dec 11 21:24:42 2020, "Eeschema: use "board editor" instead of "PcbNew" in UI strings."
4516aff43e, Wayne Stambaugh, Fri Dec 11 21:02:20 2020, "Symbol Editor: don't show edit page number in context menu."
587d3b71be, Seth Hillbrand, Fri Dec 11 20:58:23 2020, "Fix add_hierar_pin"
dfec33711f, Wayne Stambaugh, Fri Dec 11 19:59:59 2020, "Fix coding policy class definition layout rules sample indentation."
c46c8fc19a, Seth Hillbrand, Fri Dec 11 20:16:39 2020, "Alignment cleanups"
856307f331, Seth Hillbrand, Fri Dec 11 20:16:10 2020, "Add badges reference"
40457f7025, Seth Hillbrand, Fri Dec 11 20:15:44 2020, "Clean up pixel alignment for mod-icons"
7de7e1b180, Seth Hillbrand, Fri Dec 11 20:14:58 2020, "Update gerbview related icons"
5d028b82ed, Wayne Stambaugh, Fri Dec 11 19:42:30 2020, "Eeschema: tool tip improvements."
dd4298bb94, Wayne Stambaugh, Fri Dec 11 19:29:52 2020, "Coverity fixes: 280374, 313611, 313648, 313649, and 314720."
0ef63aca47, Jeff Young, Fri Dec 11 18:54:55 2020, "Don't reset tail when changing track width/via sizes."
af841d1318, Jeff Young, Fri Dec 11 18:04:14 2020, "Pay attention to flashed layers when doing DRC layer switch."
b89377a15d, Seth Hillbrand, Fri Dec 11 18:17:40 2020, "Make eeschema net highlight more highlight-y"
9c96384521, Seth Hillbrand, Fri Dec 11 18:17:15 2020, "Standardize various library icons"
7d5672b41f, Seth Hillbrand, Fri Dec 11 17:51:19 2020, "Remove cpp_26"
224697d0b3, Jeff Young, Fri Dec 11 15:07:38 2020, "Sheet navigator tooltip."
224e33f8e1, jean-pierre charras, Fri Dec 11 16:23:40 2020, "DIALOG_TEXT_PROPERTIES: allows text rotation in 0.001 degree. Fix also incorrect rotation (truncation) when displaying info in message panel fot texts and pads."
f26a1a32e0, jean-pierre charras, Thu Dec 10 15:46:20 2020, "UNIT_BINDER: better support of DEGREES units (and some fixes). Especially, add a way to define the number of digits in mantissa. base_units.cpp: set number of digits in mantissa to 3 instead of 1 for DEGREES"
d1fe4a0c98, Wayne Stambaugh, Fri Dec 11 14:51:42 2020, "3D viewer code cleaning round 1."
7cb2d19814, Jeff Young, Fri Dec 11 14:11:20 2020, "Honour alt-means-disable-grid-snapping in router."
d304f12284, Jeff Young, Fri Dec 11 13:48:04 2020, "Formatting."
73b7b104cd, Jeff Young, Fri Dec 11 13:09:37 2020, "Fix some issues with Infobar sizing."
525934881f, Marek Roszko, Fri Dec 11 05:07:49 2020, "Use a temp file for saving the fp-info-cache for now"
dd0ad8f3a1, Marek Roszko, Fri Dec 11 02:38:55 2020, "Read the fp-info-cache on pcb file load rather than on frame open"
0967995a80, Marek Roszko, Fri Dec 11 02:08:51 2020, "Replace wxTextFile for writing fp info cache"
645c49427c, Jeff Young, Fri Dec 11 02:53:15 2020, "Fix hotkey editing on OSX."
fc57860caf, Jeff Young, Thu Dec 10 23:26:35 2020, "Formatting."
a1f9b68e3c, Seth Hillbrand, Fri Dec 11 02:02:54 2020, "Change bitmaps from 26x26 to 24x24"
6898dadd1c, Jeff Young, Thu Dec 10 23:08:09 2020, "Don't activate measure tool when it's already running."
ddd026da87, Seth Hillbrand, Thu Dec 10 20:07:46 2020, "Icons: Library icons pixel align, remove grey boxes"
d305f3417c, Seth Hillbrand, Thu Dec 10 20:07:40 2020, "Fixup module icons"
5888d376a7, Jeff Young, Thu Dec 10 19:38:06 2020, "Handle special cases for ending overbar text."
98330098ac, Jeff Young, Thu Dec 10 18:34:26 2020, "Yet another overhaul to locking."
260219b0e6, Roberto Fernandez Bautista, Thu Dec 3 01:24:45 2020, "CADSTAR PCB Archive Importer: Fix arc and filled shapes in footprints - Need to call the PCB_SHAPE version of SetAngle in order to set the global coordinates for m_ThirdPoint - Fill shapes also if in a footprint"
236ab16ddb, Wayne Stambaugh, Thu Dec 10 13:55:28 2020, "Add class definition layout rules to coding policy."
a4879e740a, Marek Roszko, Thu Dec 10 03:14:29 2020, "Don't request a full frame refresh when editing text properties (stop apperance flickering)"
780ae12d47, Seth Hillbrand, Thu Dec 10 03:04:42 2020, "Pixel align group icons"
fbca825f1b, Seth Hillbrand, Thu Dec 10 02:51:36 2020, "Pixel-align module icons"
968bfcff4b, Seth Hillbrand, Thu Dec 10 02:12:12 2020, "Add missing grids"
9113f93ebe, Jeff Young, Thu Dec 10 02:33:24 2020, "Uniformly apply current locking strategy."
7fcc2e638c, Marek Roszko, Thu Dec 10 02:21:24 2020, "Fix flickering on msgpanel paints"
90d58c8509, Jeff Young, Thu Dec 10 01:07:12 2020, "Fix typo.  (Thanks Graham!)"
bb4aa15736, Marek Roszko, Thu Dec 10 00:41:16 2020, "Remove extraneous msgpanel update"
d7b79e71f2, Marek Roszko, Thu Dec 10 00:29:00 2020, "Tweak the pleditor props pane to resize better on the item tab"
8100fcc73e, Seth Hillbrand, Thu Dec 10 00:37:58 2020, "Icon revision"
d9cfd3c463, Seth Hillbrand, Thu Dec 10 00:27:41 2020, "Restore previous reannotate bitmaps"
447483d286, Seth Hillbrand, Thu Dec 10 00:05:02 2020, "Adjust Save As to match Save"
be4b6ec06a, Ian McInerney, Thu Dec 10 00:12:44 2020, "Cleanup compiler warnings"
31c5776fc0, Ian McInerney, Wed Dec 9 22:55:58 2020, "Add missing header to rtree"
ccde9143ac, Seth Hillbrand, Wed Dec 9 23:52:11 2020, "Embiggen Save Icon"
c6b17a0175, Jeff Young, Wed Dec 9 23:16:24 2020, "Enable lock menu for all selections."
df4f4560be, Jeff Young, Wed Dec 9 23:09:34 2020, "Change lock toggle to put selection in uniform state."
65782d5c5a, Jeff Young, Wed Dec 9 21:48:04 2020, "Move delete-again-to-delete-locked-objects to hypertext in infobar."
ee6f37bdc7, Jeff Young, Wed Dec 9 18:32:26 2020, "Headings and groupings for ERC severities."
ec97d1d737, Wayne Stambaugh, Wed Dec 9 19:53:50 2020, "Remove unnecessary decimal point notation test on application start."
87be80b2ad, Seth Hillbrand, Wed Dec 9 19:21:37 2020, "Embiggen main icons"
7d0fd1978c, Seth Hillbrand, Wed Dec 9 19:21:04 2020, "Add missing compiled icons for zone/config"
8401677742, Seth Hillbrand, Wed Dec 9 19:19:19 2020, "Fix ratsnest to new icon"
a3b0adf9a7, Seth Hillbrand, Wed Dec 9 19:18:52 2020, "Normalize show zone icons"
9829e8d95e, Seth Hillbrand, Wed Dec 9 19:18:15 2020, "Remove unused warning.svg"
00415bd4f3, Jarl Gjessing, Thu Dec 3 21:33:45 2020, "Translated using Weblate (Danish)"
5e240a572b, taotieren, Thu Dec 3 04:30:07 2020, "Translated using Weblate (Chinese (Simplified))"
a5bc20566c, Seth Hillbrand, Fri Dec 4 01:33:54 2020, "Translated using Weblate (Swedish)"
e61f768fbc, Wayne Stambaugh, Wed Dec 9 17:46:10 2020, "Eeschema: add defensive code to symbol library cache I/O."
e0fb12488b, Wayne Stambaugh, Wed Dec 9 15:18:55 2020, "Pcbnew: fix more minor text properties dialog layout issues."
eb2472650c, Marek Roszko, Wed Dec 9 14:01:22 2020, "Filter appearance control updates on bulk changes"
ad02156aea, Wayne Stambaugh, Wed Dec 9 13:58:32 2020, "Pcbnew: fix minor text properties dialog layout issues."
8ff521819e, Marek Roszko, Wed Dec 9 05:07:01 2020, "Rearrange the item tab in pleditor properties"
0af46bb186, Marek Roszko, Wed Dec 9 04:48:13 2020, "Some rearrangement of the General Options pleditor properties tab"
bf7daac975, Marek Roszko, Wed Dec 9 04:38:40 2020, "Connect thickness to unit binder"
6d678f4780, Marek Roszko, Wed Dec 9 03:31:10 2020, "Bind the pleditor properties to units"
809149d747, Marek Roszko, Wed Dec 9 02:50:03 2020, "Add opt toolbar to pl editor"
ecb401867c, Seth Hillbrand, Wed Dec 9 01:58:35 2020, "Simplify zone icon"
51bc71a255, Seth Hillbrand, Wed Dec 9 01:58:01 2020, "Darken Config gear"
5a2ef73d66, Marek Roszko, Wed Dec 9 01:47:14 2020, "Fix the pleditor status bar text"
4e9b9ee9cd, Marek Roszko, Wed Dec 9 01:28:48 2020, "Use DisplayErrorMessage instead of wxMessageBox directly"
ad1aae40ec, Marek Roszko, Wed Dec 9 00:58:07 2020, "Unify the saved file strings"
fbc70511c7, Seth Hillbrand, Wed Dec 9 01:41:05 2020, "GTK-require two-step in dataview"
431c8dba3c, Jeff Young, Wed Dec 9 01:17:56 2020, "Adjust undo when deleting members of a group."
5e9d9f5753, Jeff Young, Wed Dec 9 00:43:39 2020, "Special handling for presence of Ref or Value in groups."
c87a1ca17a, Seth Hillbrand, Wed Dec 9 01:14:06 2020, "Allow checkboxes in Windows with/without bitmaps"
4bed8bd57a, Seth Hillbrand, Wed Dec 9 00:30:48 2020, "Fix folder/directory icons"
6e24b06dd6, Seth Hillbrand, Wed Dec 9 00:30:30 2020, "Update main program icons"
17d0ad53b4, Seth Hillbrand, Wed Dec 9 00:14:24 2020, "Update Show DCode icon"
e38b34a4eb, Seth Hillbrand, Tue Dec 8 21:22:13 2020, "Minor rework of the program icons"
bae7b2e9ef, Seth Hillbrand, Tue Dec 8 18:45:17 2020, "Remove shading from add_arc"
799e1efba2, Seth Hillbrand, Tue Dec 8 18:44:47 2020, "Update group icons"
66d90df567, Seth Hillbrand, Tue Dec 8 18:43:15 2020, "Fix Net Highlight shading"
638790f673, Seth Hillbrand, Tue Dec 8 01:28:05 2020, "Adjust spacing to pixel align cursor shape"
77788983a7, Seth Hillbrand, Tue Dec 8 01:19:33 2020, "Update MW icons"
2f52528342, Seth Hillbrand, Tue Dec 8 00:54:30 2020, "Shrink cursor so that it doesn't stand out"
92666f954f, Seth Hillbrand, Tue Dec 8 00:53:56 2020, "Flip via_sketch to match other icons"
211f9199f8, Seth Hillbrand, Tue Dec 8 00:53:32 2020, "Remove edit_module in favor of module.svg"
fec0a1fbc8, Jeff Young, Tue Dec 8 19:43:43 2020, "Take II."
ef39711e3e, Jeff Young, Tue Dec 8 19:34:34 2020, "Remove accidentally checked-in debuggin code."
f29f052aa7, Jeff Young, Tue Dec 8 19:30:14 2020, "Update an outlier from the component -> symbol rename."
b26a5972c5, Jeff Young, Tue Dec 8 18:44:44 2020, "LIB_TREE's SetFocus() override no longer getting called."
ac684ac7a3, jean-pierre charras, Tue Dec 8 18:28:03 2020, "Fix minor compil warnings."
9c4eef2cef, jean-pierre charras, Tue Dec 8 17:52:30 2020, "Fix a missing view update when loading a footprint from the fp viewer. For some reason, a footprint loaded from the fp viewer did not have its view parameters fully updated (view bounding box not moved to the right place). The fix ensure these parameters are updated."
c611f62ade, Jeff Young, Tue Dec 8 16:27:50 2020, "Get rid of annoying double-draw when choosing a new symbol."
34be4b4666, Jeff Young, Tue Dec 8 16:27:43 2020, "Cleanup."
d1a9efa5fc, Jeff Young, Tue Dec 8 16:05:35 2020, "Try out an animating, obscuring infobar."
b1f0bf7334, Jeff Young, Tue Dec 8 14:02:08 2020, "More consistent naming."
60ecd4698c, Jeff Young, Tue Dec 8 13:30:07 2020, "Nets don't have properites; netclasses do."
20ad2bee2f, Jeff Young, Tue Dec 8 13:28:26 2020, "Naming conventions."
9407e6dc83, Marek Roszko, Tue Dec 8 06:52:21 2020, "Another set of color msgpanel items stripped"
cbda1d7bf1, Marek Roszko, Tue Dec 8 06:50:25 2020, "Remove more vestiges of old colored msg panel messages"
97b5cff5fe, Marek Roszko, Tue Dec 8 06:35:37 2020, "Remove redundant message panel SetMsgPanel"
b45eb56ddf, Marek Roszko, Tue Dec 8 06:34:36 2020, "Cleanup some msg panel usage using the no longer support colors"
abb5cb8310, Marek Roszko, Tue Dec 8 06:27:34 2020, "Fix up msg panel status on save slightly"
d7154c4334, Marek Roszko, Tue Dec 8 04:11:53 2020, "Skip no_connect_ nets in the appearance widget"
e88d41f764, Marek Roszko, Tue Dec 8 00:29:30 2020, "Add bulk add/remove mode flag to the BOARD_LISTENER"
1f3cdffe6b, Jeff Young, Tue Dec 8 01:01:15 2020, "Fix clipping of optimizer slider on OSX."
aa3e29ee7c, Jeff Young, Tue Dec 8 00:58:51 2020, "Don't re-enter router on subsequent X key."
ac32d6a4b6, Wayne Stambaugh, Mon Dec 7 23:52:01 2020, "Symbol editor: add tool tip to clarify interchangeable symbol units."
485106dc9f, Ian McInerney, Mon Dec 7 23:04:29 2020, "Add missing include to minoptmax.h"
27fa3a422a, Ian McInerney, Mon Dec 7 23:03:43 2020, "Restore trace strings in the tool stack"
4d022795d1, Seth Hillbrand, Mon Dec 7 22:28:21 2020, "Icons: Remove extra line label icon"
73693b7148, Seth Hillbrand, Mon Dec 7 22:22:40 2020, "Icons: Update add_line_label"
e74e7c3df7, Seth Hillbrand, Mon Dec 7 22:18:46 2020, "Remove grey background from hidden pin icon"
5ee8f2ee0b, Seth Hillbrand, Mon Dec 7 22:17:06 2020, "Icons: Add generic project icon"
f8f82f61a8, Seth Hillbrand, Mon Dec 7 22:16:28 2020, "Icons: Fix annotate icon"
9bc6b6d27a, Seth Hillbrand, Mon Dec 7 20:13:17 2020, "Bitmaps: Adjust Annotate"
c471705197, Seth Hillbrand, Mon Dec 7 19:23:13 2020, "Correct units icons"
fccf167f0e, Seth Hillbrand, Mon Dec 7 18:54:25 2020, "Icon updates"
588fd5e267, jean-pierre charras, Mon Dec 7 18:28:06 2020, "Better fix than 86b631b3"
c7bd8fc987, Jeff Young, Mon Dec 7 16:50:04 2020, "A couple of missed "footprint" terminology updates."
893f1bb4c1, Jeff Young, Mon Dec 7 16:49:39 2020, "Clear view before deleting part."
78129aabeb, Jeff Young, Mon Dec 7 13:15:52 2020, "Fix another case of 413ff4525b8b95aca05fb7ea5b2b173801e67004."
86b631b31e, jean-pierre charras, Mon Dec 7 14:20:38 2020, "Fix incorrect use of ShowQuasiModal instead of ShowModal."
33ead130ac, jean-pierre charras, Mon Dec 7 11:30:57 2020, "French translation update"
413ff4525b, jean-pierre charras, Mon Dec 7 10:28:54 2020, "DIALOG_CONFIGURE_PATHS: fix issue: html help window never destroyed. Once the help button is clicked, the html help window is created but never destroyed. It prevent Kicad to be fully closed (closing Kicad does not fully close Kicad and leave something like a zombie process)"
59527dff2a, Jeff Young, Sun Dec 6 23:40:54 2020, "Add infobar for derived symbol editing."
ad281f7538, Jeff Young, Sun Dec 6 22:23:16 2020, "Remove duplicated TestDanglingEnds routines."
d0f9503ee0, Jeff Young, Sun Dec 6 19:45:05 2020, "Add grouping for violation severities."
58afaeb9eb, Jeff Young, Sun Dec 6 19:44:24 2020, "Use QuasiModal in all parents of ConfigPaths so help window works."
b10aa230f7, Jeff Young, Sun Dec 6 16:15:55 2020, "Remove no-longer-used DRC violation code."
3e6b658b92, Jeff Young, Sun Dec 6 15:57:26 2020, "Use stronger language when talking to wx."
2260597236, Jeff Young, Sun Dec 6 14:31:08 2020, "Fix more accidental event capturing."
16c92f4134, jean-pierre charras, Sun Dec 6 11:58:36 2020, "Fp editor: Add a tool tip in the vertical toolbar"
f09ca9ceee, Jeff Young, Sun Dec 6 13:22:17 2020, "Pass unhandled events when dragging in the router tool."
602476cdf2, Jeff Young, Sun Dec 6 13:12:48 2020, "Update SELECTION_TOOL when loading footprint editor settings."
9234745d6d, Jeff Young, Sun Dec 6 12:51:14 2020, "Formatting."
4f90c03c7d, Jeff Young, Sun Dec 6 00:56:45 2020, "Allow snapItem to be re-activated."
68947864a1, Jeff Young, Sun Dec 6 00:30:46 2020, "Update zone layers along with corresponding copper layers."
de082e9be7, Jeff Young, Sun Dec 6 00:01:13 2020, "Make footprints mostly covered in pads easier to select."
dbf273d5ec, Jeff Young, Sat Dec 5 20:43:11 2020, "Don't leave HOLE_PROXY set; it messes subsequent tests."
4c5567a627, Jeff Young, Sat Dec 5 20:24:18 2020, "Allow colliding pads in netties as well as graphic shapes."
d6c3c6f7fa, Jeff Young, Sat Dec 5 19:03:19 2020, "Use footprintRect not ViewBBox for determining footprint bounds."
d43eefbad5, Jeff Young, Sat Dec 5 19:03:03 2020, "Formatting."
3704c1cdb7, Seth Hillbrand, Fri Dec 4 20:56:58 2020, "New icons for v6"
f53958dd54, jean-pierre charras, Sat Dec 5 16:04:42 2020, "Pcbnew, PANEL_EDIT_OPTIONS: add helper messages to display info about LMB click and the modifier keys actions."
63088e8bdb, jean-pierre charras, Sat Dec 5 11:51:08 2020, "Pcbnew: fix incorrect size of solder paste rectangular area of rect pads. When the solder paste margin was the same for X and Y directions, the margin was not taken in account (missing code)"
8781ce7efb, Jeff Young, Sat Dec 5 02:10:28 2020, "Huge performance win for Preferences."
a3406e7514, Jeff Young, Fri Dec 4 23:48:13 2020, "Make snapping more predictable."
4e100b8d03, Jeff Young, Fri Dec 4 21:47:29 2020, "Handle groups in clearance report, and make sure zone bboxes are cached."
9ece90a541, Jeff Young, Fri Dec 4 20:36:10 2020, "Fix off-by-one error in exporting netlist, and update testcases."
4634802a58, Jeff Young, Fri Dec 4 20:29:04 2020, "Formatting."
7b347d793b, Jeff Young, Fri Dec 4 17:57:19 2020, "Change gears on no-connect net generation.  See bug rpt."
e6550fb92e, jean-pierre charras, Fri Dec 4 16:35:57 2020, "3D viewer: fix a draw issue: missing holes."
2050e05944, Jeff Young, Fri Dec 4 15:48:48 2020, "Formatting."
8d72a768e0, Franck Jullien, Mon Nov 23 14:29:40 2020, "eeschema/intersheet: add print and plot functions"
4d3224a9cb, Jeff Young, Fri Dec 4 14:38:38 2020, "Fix off-by-one error when deleting single marker."
f3e1ac8dbe, Jeff Young, Fri Dec 4 13:14:07 2020, "Defensive code to prevent lookup of stale parent board."
fd5e1fbdd4, Jeff Young, Fri Dec 4 13:13:11 2020, "Formatting and cleanup."
c47871e775, jean-pierre charras, Fri Dec 4 14:45:14 2020, "EDA_BASE_FRAME::ShowInfoBarMsg: add option to show a close button. Same for EDA_BASE_FRAME::ShowInfoBarError and EDA_BASE_FRAME::ShowInfoBarWarning"
821128cb8e, Peter Montgomery, Fri Dec 4 13:48:32 2020, "Eeschema: Make auto-decrementing net labels stop at zero"
2f3ca60c5e, jean-pierre charras, Fri Dec 4 10:25:05 2020, "Pcbnew, modifiers for left click behavior: re-add highlight net option. Due to last changes fixing the ALT key problems, the highlight net is CTRL+SHIFT + left click on Windows and Linux CTRL+ALT + left click on OSX"
1a9878d6d3, Marek Roszko, Fri Dec 4 03:44:29 2020, "Whittle the pencil cursor down slightly"
535dbc1a06, Marek Roszko, Fri Dec 4 03:06:10 2020, "Block off potential errant double activation of tree project items"
09bfb76545, Jeff Young, Fri Dec 4 00:02:41 2020, "Make sure dissallow constraints get added to rule."
0f9b01ee1d, Seth Hillbrand, Thu Dec 3 23:36:57 2020, "Fix locking scheme for double-clicks"
0533a23185, Seth Hillbrand, Thu Dec 3 23:03:43 2020, "Fix/workaround GTK libtree issue with multi-unit symbols"
e882753ebf, Jeff Young, Thu Dec 3 20:53:39 2020, "Grid snapping fixes."
e0b4e5135c, Jeff Young, Thu Dec 3 16:54:29 2020, "Tilt real-estate allocation more toward net membership."
a19028a396, Jeff Young, Thu Dec 3 16:10:23 2020, "Hook up EE_GRID_HELPER to some more tools."
e79df4a3ed, Jeff Young, Thu Dec 3 16:10:14 2020, "Formatting."
fd3348690d, Wayne Stambaugh, Thu Dec 3 14:17:09 2020, "Symbol editor: enable save command when only libraries are modified."
cf6620f8fa, jean-pierre charras, Thu Dec 3 10:42:31 2020, "eeschema: DIALOG_SYMBOL_PROPERTIES: fix crash when working on a old .sch file Old .sch files do not store the symbol part description (stored in a cache lib) So when using a .sch file, the part description can be not existing. The fix tests for non existing part description."
e5f340d176, Marek Roszko, Thu Dec 3 01:27:10 2020, "Use monospace (teletype) font in show simulator netlist"
43fe228367, Jeff Young, Thu Dec 3 00:17:56 2020, "Hook up a bit more of the EE_GRID_HELPER."
599a33a9c6, Jeff Young, Wed Dec 2 23:31:01 2020, "Make PLEditor greedy selections of rectangles sparse."
9191b4a41b, lê văn lập, Tue Dec 1 07:44:18 2020, "Translated using Weblate (Vietnamese)"
d1b76822ef, Eric, Mon Nov 30 10:52:41 2020, "Translated using Weblate (Chinese (Simplified))"
c839ac8dbb, aris-kimi, Wed Dec 2 18:57:34 2020, "Translated using Weblate (Greek)"
566bea0962, Jarl Gjessing, Mon Nov 30 08:54:31 2020, "Translated using Weblate (Danish)"
81ba3aa7a6, Seth Hillbrand, Wed Dec 2 10:01:38 2020, "Translated using Weblate (Danish)"
39107bc506, aris-kimi, Mon Nov 30 01:07:43 2020, "Translated using Weblate (Greek)"
00edc85f4f, Jeff Young, Wed Dec 2 22:16:48 2020, "Allow layer switching when routing from pad."
f2ac6fcd44, Jeff Young, Wed Dec 2 21:04:21 2020, "Treat net 0 items as each being in their own net."
d06d35a74d, Jeff Young, Wed Dec 2 19:42:37 2020, "Formatting."
9c968b0ef7, Ian McInerney, Wed Dec 2 20:37:15 2020, "Link kicad appdata with the desktop file"
64f555079a, jean-pierre charras, Wed Dec 2 18:33:59 2020, "Code cleanup related to zoom: - remove outdated code or comment coming from old drawing code using wxDC - move zoom values lists to zoom_defines.h - fix incorrect zoom max and min values (gal scaling factor limits)."
fcce62f0a4, jean-pierre charras, Wed Dec 2 15:34:05 2020, "cleanup related to zoom definitions"
b7564f6f05, Jon Evans, Wed Dec 2 18:32:59 2020, "Don't modify RTree while iterating over it"
